hs_lo_m,hs_hi_m,hs_mid_m,count,period_p10_s,period_median_s,period_p90_s,dir_mean_deg,dir_R,dir_std_deg
0.941,1.048,0.994,40,8.412,8.570,9.727,205.138,0.987,9.336
1.048,1.154,1.101,176,8.349,9.058,9.978,199.426,0.932,21.471
1.154,1.261,1.207,936,7.528,8.731,10.155,196.485,0.932,21.575
1.261,1.367,1.314,2014,7.368,8.752,10.286,193.606,0.927,22.289
1.367,1.474,1.421,3789,7.585,9.009,10.268,193.986,0.926,22.419
1.474,1.580,1.527,6462,7.625,9.017,10.427,188.931,0.927,22.249
1.580,1.687,1.634,9654,7.626,9.094,10.592,187.770,0.920,23.370
1.687,1.794,1.740,13725,7.693,9.217,10.849,187.936,0.918,23.719
1.794,1.900,1.847,16270,7.719,9.257,10.943,185.902,0.921,23.315
1.900,2.007,1.953,18587,7.703,9.248,11.047,184.051,0.918,23.668
2.007,2.113,2.060,20210,7.790,9.275,11.229,182.230,0.923,22.961
2.113,2.220,2.166,19371,7.841,9.390,11.360,182.113,0.921,23.289
2.220,2.326,2.273,18542,7.863,9.441,11.622,181.583,0.916,23.932
2.326,2.433,2.380,16135,7.867,9.474,11.793,179.351,0.920,23.421
2.433,2.539,2.486,14227,7.931,9.592,11.891,178.928,0.918,23.703
2.539,2.646,2.593,12554,8.019,9.759,12.068,179.173,0.916,24.017
2.646,2.753,2.699,11010,7.930,9.846,12.180,178.707,0.911,24.695
2.753,2.859,2.806,9201,7.948,9.803,12.346,177.014,0.909,25.013
2.859,2.966,2.912,7675,8.039,9.857,12.460,176.669,0.913,24.386
2.966,3.072,3.019,6309,8.167,10.046,12.533,176.704,0.916,24.044
3.072,3.179,3.126,4761,8.300,10.240,12.855,178.242,0.913,24.495
3.179,3.285,3.232,3816,8.300,10.358,12.939,177.081,0.907,25.333
3.285,3.392,3.339,3014,8.354,10.527,12.938,178.096,0.913,24.372
3.392,3.499,3.445,2417,8.457,10.760,12.984,179.017,0.912,24.633
3.499,3.605,3.552,1735,8.531,10.715,13.354,177.116,0.912,24.557
3.605,3.712,3.658,1404,8.692,10.901,13.508,178.269,0.910,24.885
3.712,3.818,3.765,1049,8.671,10.822,13.660,176.960,0.906,25.491
3.818,3.925,3.872,747,8.715,10.723,14.063,178.058,0.896,26.792
3.925,4.031,3.978,561,8.629,10.582,13.512,173.018,0.877,29.307
4.031,4.138,4.085,409,8.914,11.234,14.458,178.835,0.888,27.871
4.138,4.245,4.191,300,8.934,11.340,14.499,177.620,0.885,28.330
4.245,4.351,4.298,258,8.881,10.483,13.864,168.102,0.885,28.259
4.351,4.458,4.404,188,8.892,11.478,14.341,172.857,0.872,29.956
4.458,4.564,4.511,146,9.159,11.729,14.197,177.180,0.908,25.161
4.564,4.671,4.618,98,9.442,12.350,14.901,180.738,0.891,27.542
4.671,4.777,4.724,65,9.178,11.244,15.945,172.690,0.881,28.783
4.777,4.884,4.831,44,9.378,11.447,14.376,176.150,0.871,30.123
4.884,4.991,4.937,25,9.380,10.732,14.287,165.070,0.888,27.899
4.991,5.097,5.044,13,10.865,11.516,13.993,181.191,0.965,15.190
5.097,5.204,5.150,15,10.971,11.109,11.729,174.297,0.980,11.517
